X1,X2,X3,X4,X5
11-01-2010  2010 A.C.N GS,Malawi,3 – 0,Algeria,Luanda
14-01-2010  2010 A.C.N GS,Mali,0 – 1,Algeria,Luanda
18-01-2010  2010 A.C.N GS,Angola,0 – 0,Algeria,Luanda
24-01-2010  2010 A.C.N QF,Ivory Coast,2 – 3 (a.e.t.),Algeria,Cabinda
28-01-2010  2010 A.C.N SF,Algeria,0 – 4,Egypt,Benguela
30-01-2010  2010 A.C.N TP,Nigeria,1 – 0,Algeria,Benguela
03-03-2010 Friendlies,Algeria,0 – 3,Serbia,Algiers
28-05-2010 Friendlies,Republic of Ireland,3 – 0,Algeria,Dublin
05-06-2010 Friendlies,Algeria,1 – 0,United Arab Emirates,Fürth
13-06-2010  2010 W.C GS,Algeria,0 – 1,Slovenia,Polokwane
18-06-2010  2010 W.C GS,England,0 – 0,Algeria,Cape Town
23-06-2010  2010 W.C GS,United States,1 – 0,Algeria,Pretoria
11-08-2010 Friendlies,Algeria,1 – 2,Gabon,Algiers
03-09-2010   2012 A.C.N Q,Algeria,1 – 1,Tanzania,Blida
10-10-2010   2012 A.C.N Q,Central African Republic,2 – 0,Algeria,Bangui
17-11-2010 Friendlies,Luxembourg,0 – 0,Algeria,Luxembourg
27-03-2011   2012 A.C.N Q,Algeria,1 – 0,Morocco,Annaba
04-06-2011   2012 A.C.N Q,Morocco,4 – 0,Algeria,Marrakech
03-09-2011   2012 A.C.N Q,Tanzania,1 – 1,Algeria,Dar es Salaam
09-10-2011   2012 A.C.N Q,Algeria,2 – 0,Central African Republic,Algiers
12-11-2011 Friendlies,Algeria,1 – 0,Tunisia,Blida
29-02-2012  2013 A.C.N Q,Gambia,1 – 2,Algeria,Bakau
26-05-2012 Friendlies,Algeria,3 – 0,Niger,Blida
02-06-2012  2014 W.C Q,Algeria,4 – 0,Rwanda,Blida
10-06-2012  2014 W.C Q,Mali,2 – 1,Algeria,Ouagadougou (Burkina Faso)[note 1]
15-06-2012  2013 A.C.N Q,Algeria,4 – 1,Gambia,Blida
09-09-2012  2013 A.C.N Q,Libya,0 – 1,Algeria,Casablanca (Morocco)3
14-10-2012  2013 A.C.N Q,Algeria,2 – 0,Libya,Blida
14-11-2012 Friendlies,Algeria,0 – 1,Bosnia and Herzegovina,Algiers
12-01-2013 Friendlies,South Africa,0 – 0,Algeria,Johannesburg
22-01-2013  2013 A.C.N GS,Tunisia,1 – 0,Algeria,Rustenburg
26-01-2013  2013 A.C.N GS,Algeria,0 – 2,Togo,Rustenburg
30-01-2013  2013 A.C.N GS,Algeria,2 – 2,Ivory Coast,Rustenburg
26-03-2013  2014 W.C Q,Algeria,3 – 1,Benin,Blida
25-05-2013 Friendlies,Algeria,1 – 0,Mauritania,Blida
02-06-2013 Friendlies,Algeria,2 – 0,Burkina Faso,Blida
09-06-2013  2014 W.C Q,Benin,1 – 3,Algeria,Porto-Novo
16-06-2013  2014 W.C Q,Rwanda,0 – 1,Algeria,Kigali
14-08-2013 Friendlies,Algeria,2 – 2,Guinea,Blida
10-09-2013  2014 W.C Q,Algeria,1 – 0,Mali,Blida
12-10-2013  2014 W.C Q,Burkina Faso,3 – 2,Algeria,Ouagadougou
19-11-2013  2014 W.C Q,Algeria,1 – 0,Burkina Faso,Blida
05-03-2014 Friendly,Algeria,2 – 0,Slovenia,Blida
31-05-2014 Friendly,Algeria,3 – 1,Armenia,Sion
04-06-2014 Friendly,Algeria,2 – 1,Romania,Geneva
17-06-2014  2014 W.C GS,Belgium,2 – 1,Algeria,Belo Horizonte
22-06-2014  2014 W.C GS,South Korea,2 – 4,Algeria,Porto Alegre
26-06-2014  2014 W.C GS,Algeria,1 – 1,Russia,Curitiba
30-06-2014  2014 W.C 1/8,Germany,2 – 1 (a.e.t.),Algeria,Porto Alegre
06-09-2014  2015 A.C.N Q,Ethiopia,1 – 2,Algeria,Addis Ababa
10-09-2014  2015 A.C.N Q,Algeria,1 – 0,Mali,Blida
11-10-2014  2015 A.C.N Q,Malawi,0 – 2,Algeria,Blantyre
15-10-2014  2015 A.C.N Q,Algeria,3 – 0,Malawi,Blida
15-11-2014  2015 A.C.N Q,Algeria,3 – 1,Ethiopia,Blida
19-11-2014  2015 A.C.N Q,Mali,2 – 0,Algeria,Bamako
11-01-2015 Friendlies,Tunisia,1 – 1,Algeria,Rades
19-01-2015  2015 A.C.N GS,Algeria,3 – 1,South Africa,Mongomo
23-01-2015  2015 A.C.N GS,Ghana,1 – 0,Algeria,Mongomo
27-01-2015  2015 A.C.N GS,Senegal,0 – 2,Algeria,Malabo
01-02-2015  2015 A.C.N QF,Ivory Coast,3 – 1,Algeria,Malabo
26-03-2015 Friendly,Qatar,1 – 0,Algeria,Doha
26-03-2015 Friendly,Algeria,4 – 1,Oman,Doha
13-06-2015  2017 A.C.N Q,Algeria,4 – 0,Seychelles,Blida
06-09-2015  2017 A.C.N Q,Lesotho,1 – 3,Algeria,Maseru
09-10-2015 Friendlies,Algeria,1 – 2,Guinea,Algiers
13-10-2015 Friendlies,Algeria,1 – 0,Senegal,Algiers
14-11-2015  2018 W.C Q,Tanzania,2 – 2,Algeria,Dar es Salaam
17-11-2015  2018 W.C Q,Algeria,7 – 0,Tanzania,Blida
25-03-2016  2017 A.C.N Q,Algeria,7 – 1,Ethiopia,Blida
29-03-2016  2017 A.C.N Q,Ethiopia,3 – 3,Algeria,Addis Ababa
02-06-2016  2017 A.C.N Q,Seychelles,0 – 2,Algeria,Victoria
04-09-2016  2017 A.C.N Q,Algeria,6 – 0,Lesotho,Blida
09-10-2016  2018 WC Q,Algeria,1 – 1,Cameroon,Blida
11-11-2016  2018 WC Q,Nigeria,3 – 1,Algeria,Uyo
07-01-2017 Friendlies,Algeria,3 – 1,Mauritania,Blida
15-01-2017  2017 A.C.N GS,Algeria,2 – 2,Zimbabwe,Franceville
19-01-2017  2017 A.C.N GS,Algeria,1 – 2,Tunisia,Franceville
23-01-2017  2017 A.C.N GS,Senegal,2 – 2,Algeria,Franceville
06-06-2017 Friendlies,Algeria,2 – 1,Guinea,Blida
11-06-2017  2019 A.C.N Q,Algeria,1 – 0,Togo,Blida
02-09-2017  2018 WC Q,Zambia,3 – 1,Algeria,Ndola
05-09-2017  2018 WC Q,Algeria,0 – 1,Zambia,Constantine
07-10-2017  2018 WC Q,Cameroon,2 – 0,Algeria,Yaoundé
10-11-2017  2018 WC Q,Algeria,3 – 0Awarded[note 2],Nigeria,Constantine
14-11-2017 Friendlies,Algeria,3 – 0,Central African Republic,Algiers
22-03-2018 Friendlies,Algeria,4 – 1,Tanzania,Algiers
27-03-2018 Friendlies,Iran,2 – 1,Algeria,Graz
09-05-2018 Friendlies,Saudi Arabia,2 – 0,Algeria,Cádiz
01-06-2018 Friendlies,Algeria,2 – 3,Cape Verde,Algiers
07-06-2018 Friendlies,Portugal,3 – 0,Algeria,Lisbon
08-09-2018  2019 A.C.N Q,Gambia,1 – 1,Algeria,Bakau
12-10-2018  2019 A.C.N Q,Algeria,2 – 0,Benin,Blida
16-10-2018  2019 A.C.N Q,Benin,1 – 0,Algeria,Cotonou
18-11-2018  2019 A.C.N Q,Togo,1 – 4,Algeria,Lomé
27-12-2018 Friendlies,Qatar,0 – 1,Algeria,Doha
22-03-2019  2019 A.C.N Q,Algeria,1 – 1,Gambia,Blida
26-03-2019 Friendly,Algeria,1 – 0,Tunisia,Blida
11-06-2019 Friendly,Algeria,1 – 1,Burundi,Doha
16-06-2019 Friendly,Algeria,3 – 2,Mali,Doha
23-06-2019  2019 A.C.N GS,Algeria,2 – 0,Kenya,Cairo
27-06-2019  2019 A.C.N GS,Senegal,0 – 1,Algeria,Cairo
01-07-2019  2019 A.C.N GS,Tanzania,0 – 3,Algeria,Cairo
07-07-2019  2019 A.C.N R16,Algeria,3 – 0,Guinea,Cairo
11-07-2019  2019 A.C.N QF,Ivory Coast,1 – 1 (a.e.t.) (3 – 4 p),Algeria,Suez
14-07-2019  2019 A.C.N SF,Algeria,2 – 1,Nigeria,Cairo
19-07-2019  2019 A.C.N Final,Senegal,0 – 1,Algeria,Cairo
09-09-2019 Friendly,Algeria,1 – 0,Benin,Blida
